Continent,Pays,Année,Superficie du vignoble,Unité
Amérique,Etats-unis,1997,363387,ha
Amérique,Etats-unis,1998,372436,ha
Amérique,Etats-unis,1999,394492,ha
Amérique,Etats-unis,2000,413286,ha
Amérique,Etats-unis,2001,405672,ha
Amérique,Etats-unis,2002,413286,ha
Amérique,Etats-unis,2003,414721,ha
Amérique,Etats-unis,2004,407456,ha
Amérique,Etats-unis,2005,408326,ha
Amérique,Etats-unis,2006,409196,ha
Amérique,Etats-unis,2007,407413,ha
Amérique,Etats-unis,2008,411023,ha
Amérique,Etats-unis,2009,420116,ha
Amérique,Etats-unis,2010,432732,ha
Amérique,Etats-unis,2011,438922,ha
Amérique,Etats-unis,2012,442877,ha
Amérique,Etats-unis,2013,453361,ha
Amérique,Etats-unis,2014,449698,ha
Amérique,Etats-unis,2015,445565,ha
Amérique,Etats-unis,2016,439214,ha
Amérique,Etats-unis,2017,434080,ha
Amérique,Etats-unis,2018,407630,ha
Amérique,Etats-unis,2019,406760,ha
Afrique,Ethiopie,1995,1002,ha
Afrique,Ethiopie,1996,1042,ha
Afrique,Ethiopie,1997,1070,ha
Afrique,Ethiopie,1998,1142,ha
Afrique,Ethiopie,1999,1290,ha
Afrique,Ethiopie,2000,1666,ha
Afrique,Ethiopie,2001,1828,ha
Afrique,Ethiopie,2002,1881,ha
Afrique,Ethiopie,2003,1864,ha
Afrique,Ethiopie,2004,1876,ha
Afrique,Ethiopie,2005,1901,ha
Afrique,Ethiopie,2006,1935,ha
Afrique,Ethiopie,2007,2016,ha
Afrique,Ethiopie,2008,2088,ha
Afrique,Ethiopie,2009,2150,ha
Afrique,Ethiopie,2010,1852,ha
Afrique,Ethiopie,2011,2023,ha
Afrique,Ethiopie,2012,2365,ha
Afrique,Ethiopie,2013,2365,ha
Afrique,Ethiopie,2014,2516,ha
Afrique,Ethiopie,2015,2746,ha
Afrique,Ethiopie,2016,3024,ha
Afrique,Ethiopie,2017,3389,ha
Afrique,Ethiopie,2018,3883,ha
Afrique,Ethiopie,2019,4585,ha
Europe,France,1995,926685,ha
Europe,France,1996,918671,ha
Europe,France,1997,913822,ha
Europe,France,1998,913000,ha
Europe,France,1999,914000,ha
Europe,France,2000,907000,ha
Europe,France,2001,900000,ha
Europe,France,2002,898050,ha
Europe,France,2003,888380,ha
Europe,France,2004,888940,ha
Europe,France,2005,894880,ha
Europe,France,2006,887500,ha
Europe,France,2007,858809,ha
Europe,France,2008,846482,ha
Europe,France,2009,825028,ha
Europe,France,2010,804009,ha
Europe,France,2011,795371,ha
Europe,France,2012,792483,ha
Europe,France,2013,792930,ha
Europe,France,2014,788645,ha
Europe,France,2015,784637,ha
Europe,France,2016,786054,ha
Europe,France,2017,787681,ha
Europe,France,2018,792213,ha
Europe,France,2019,794336,ha
Europe,Fédération De Russie,1995,89500,ha
Europe,Fédération De Russie,1996,84000,ha
Europe,Fédération De Russie,1997,79700,ha
Europe,Fédération De Russie,1998,72300,ha
Europe,Fédération De Russie,1999,71000,ha
Europe,Fédération De Russie,2000,72000,ha
Europe,Fédération De Russie,2001,70000,ha
Europe,Fédération De Russie,2002,68200,ha
Europe,Fédération De Russie,2003,70300,ha
Europe,Fédération De Russie,2004,72700,ha
Europe,Fédération De Russie,2005,69500,ha
Europe,Fédération De Russie,2006,61300,ha
Europe,Fédération De Russie,2007,62000,ha
Europe,Fédération De Russie,2008,65300,ha
Europe,Fédération De Russie,2009,65300,ha
Europe,Fédération De Russie,2010,62200,ha
Europe,Fédération De Russie,2011,63000,ha
Europe,Fédération De Russie,2012,61500,ha
Europe,Fédération De Russie,2013,62000,ha
Europe,Fédération De Russie,2014,86500,ha
Europe,Fédération De Russie,2015,85100,ha
Europe,Fédération De Russie,2016,87600,ha
Europe,Fédération De Russie,2017,89900,ha
Europe,Fédération De Russie,2018,93490,ha
Europe,Fédération De Russie,2019,95917,ha
Europe,Grèce,1995,134928,ha
Europe,Grèce,1996,132318,ha
Europe,Grèce,1997,131900,ha
Europe,Grèce,1998,129527,ha
Europe,Grèce,1999,128355,ha
Europe,Grèce,2000,130800,ha
Europe,Grèce,2001,121600,ha
Europe,Grèce,2002,122000,ha
Europe,Grèce,2003,111000,ha
Europe,Grèce,2004,111500,ha
Europe,Grèce,2005,112800,ha
Europe,Grèce,2006,111700,ha
Europe,Grèce,2007,117471,ha
Europe,Grèce,2008,115127,ha
Europe,Grèce,2009,112889,ha
Europe,Grèce,2010,112272,ha
Europe,Grèce,2011,109973,ha
Europe,Grèce,2012,110000,ha
Europe,Grèce,2013,109800,ha
Europe,Grèce,2014,109500,ha
Europe,Grèce,2015,107000,ha
Europe,Grèce,2016,105343,ha
Europe,Grèce,2017,105732,ha
Europe,Grèce,2018,107866,ha
Europe,Grèce,2019,109489,ha
Amérique,Guatemala,1995,1957,ha
Amérique,Guatemala,1996,2032,ha
Amérique,Guatemala,1997,2032,ha
Amérique,Guatemala,1998,2032,ha
Amérique,Guatemala,1999,2107,ha
Amérique,Guatemala,2000,2107,ha
Amérique,Guatemala,2001,2150,ha
Amérique,Guatemala,2002,2210,ha
Amérique,Guatemala,2003,2259,ha
Amérique,Guatemala,2004,2295,ha
Amérique,Guatemala,2005,2335,ha
Amérique,Guatemala,2006,2374,ha
Amérique,Guatemala,2007,2413,ha
Amérique,Guatemala,2008,2452,ha
Amérique,Guatemala,2009,2491,ha
Amérique,Guatemala,2010,2529,ha
Amérique,Guatemala,2011,2568,ha
Amérique,Guatemala,2012,2606,ha
Amérique,Guatemala,2013,2645,ha
Amérique,Guatemala,2014,2682,ha
Amérique,Guatemala,2015,2775,ha
Amérique,Guatemala,2016,2808,ha
Amérique,Guatemala,2017,2844,ha
Amérique,Guatemala,2018,2882,ha
Amérique,Guatemala,2019,2919,ha
Asie,Géorgie,1995,94200,ha
Asie,Géorgie,1996,90800,ha
Asie,Géorgie,1997,81216,ha
Asie,Géorgie,1998,73100,ha
Asie,Géorgie,1999,65000,ha
Asie,Géorgie,2000,66000,ha
Asie,Géorgie,2001,64000,ha
Asie,Géorgie,2002,61000,ha
Asie,Géorgie,2003,64000,ha
Asie,Géorgie,2004,63860,ha
Asie,Géorgie,2005,59000,ha
Asie,Géorgie,2006,54395,ha
Asie,Géorgie,2007,55148,ha
Asie,Géorgie,2008,54503,ha
Asie,Géorgie,2009,51600,ha
Asie,Géorgie,2010,48805,ha
Asie,Géorgie,2011,48500,ha
Asie,Géorgie,2012,48375,ha
Asie,Géorgie,2013,48000,ha
Asie,Géorgie,2014,48000,ha
Asie,Géorgie,2015,48246,ha
Asie,Géorgie,2016,48491,ha
Asie,Géorgie,2017,48400,ha
Asie,Géorgie,2018,48375,ha
Asie,Géorgie,2019,49450,ha
Amérique,Honduras,1995,27,ha
Amérique,Honduras,1996,27,ha
Amérique,Honduras,1997,27,ha
Amérique,Honduras,1998,27,ha
Amérique,Honduras,1999,27,ha
Amérique,Honduras,2000,27,ha
Amérique,Honduras,2001,27,ha
Amérique,Honduras,2002,27,ha
Amérique,Honduras,2003,28,ha
Amérique,Honduras,2004,30,ha
Amérique,Honduras,2005,32,ha
Amérique,Honduras,2006,33,ha
Amérique,Honduras,2007,38,ha
Amérique,Honduras,2008,38,ha
Amérique,Honduras,2009,34,ha
Amérique,Honduras,2010,35,ha
Amérique,Honduras,2011,37,ha
Amérique,Honduras,2012,37,ha
Amérique,Honduras,2013,38,ha
Amérique,Honduras,2014,38,ha
Amérique,Honduras,2015,39,ha
Amérique,Honduras,2016,39,ha
Amérique,Honduras,2017,39,ha
Amérique,Honduras,2018,40,ha
Amérique,Honduras,2019,40,ha
Europe,Hongrie,1995,131334,ha
Europe,Hongrie,1996,130934,ha
Europe,Hongrie,1997,130874,ha
Europe,Hongrie,1998,129658,ha
Europe,Hongrie,1999,127066,ha
Europe,Hongrie,2000,113000,ha
Europe,Hongrie,2001,98000,ha
Europe,Hongrie,2002,93000,ha
Europe,Hongrie,2003,93300,ha
Europe,Hongrie,2004,87000,ha
Europe,Hongrie,2005,82600,ha
Europe,Hongrie,2006,78000,ha
Europe,Hongrie,2007,75000,ha
Europe,Hongrie,2008,74278,ha
Europe,Hongrie,2009,72933,ha
Europe,Hongrie,2010,71754,ha
Europe,Hongrie,2011,69230,ha
Europe,Hongrie,2012,66466,ha
Europe,Hongrie,2013,61930,ha
Europe,Hongrie,2014,64212,ha
Europe,Hongrie,2015,67708,ha
Europe,Hongrie,2016,68422,ha
Europe,Hongrie,2017,68338,ha
Europe,Hongrie,2018,68779,ha
Europe,Hongrie,2019,67477,ha
Asie,Inde,1995,43000,ha
Asie,Inde,1996,43000,ha
Asie,Inde,1997,43000,ha
Asie,Inde,1998,43000,ha
Asie,Inde,1999,45795,ha
Asie,Inde,2000,43000,ha
Asie,Inde,2001,53750,ha
Asie,Inde,2002,53750,ha
Asie,Inde,2003,64500,ha
Asie,Inde,2004,62135,ha
Asie,Inde,2005,65038,ha
Asie,Inde,2006,70950,ha
Asie,Inde,2007,69875,ha
Asie,Inde,2008,73100,ha
Asie,Inde,2009,86000,ha
Asie,Inde,2010,114380,ha
Asie,Inde,2011,119325,ha
Asie,Inde,2012,124700,ha
Asie,Inde,2013,126850,ha
Asie,Inde,2014,127646,ha
Asie,Inde,2015,129000,ha
Asie,Inde,2016,131150,ha
Asie,Inde,2017,147275,ha
Asie,Inde,2018,149425,ha
Asie,Inde,2019,150500,ha
Asie,"Iran, République Islamique",1995,252000,ha
Asie,"Iran, République Islamique",1996,262000,ha
Asie,"Iran, République Islamique",1997,275000,ha
Asie,"Iran, République Islamique",1998,282000,ha
Asie,"Iran, République Islamique",1999,288000,ha
Asie,"Iran, République Islamique",2000,292000,ha
Asie,"Iran, République Islamique",2001,301000,ha
Asie,"Iran, République Islamique",2002,302000,ha
Asie,"Iran, République Islamique",2003,315000,ha
Asie,"Iran, République Islamique",2004,328965,ha
Asie,"Iran, République Islamique",2005,330300,ha
Asie,"Iran, République Islamique",2006,297500,ha
Asie,"Iran, République Islamique",2007,264700,ha
Asie,"Iran, République Islamique",2008,231900,ha
Asie,"Iran, République Islamique",2009,219089,ha
Asie,"Iran, République Islamique",2010,221075,ha
Asie,"Iran, République Islamique",2011,225093,ha
Asie,"Iran, République Islamique",2012,225359,ha
Asie,"Iran, République Islamique",2013,220874,ha
Asie,"Iran, République Islamique",2014,216389,ha
Asie,"Iran, République Islamique",2015,217150,ha
Asie,"Iran, République Islamique",2016,168217,ha
Asie,"Iran, République Islamique",2017,152558,ha
Asie,"Iran, République Islamique",2018,167165,ha
Asie,"Iran, République Islamique",2019,166843,ha
Asie,Iraq,1995,16125,ha
Asie,Iraq,1996,16125,ha
Asie,Iraq,1997,13975,ha
Asie,Iraq,1998,13706,ha
Asie,Iraq,1999,13706,ha
Asie,Iraq,2000,13706,ha
Asie,Iraq,2001,13706,ha
Asie,Iraq,2002,13706,ha
Asie,Iraq,2003,13706,ha
Asie,Iraq,2004,8600,ha
Asie,Iraq,2005,8600,ha
Asie,Iraq,2006,8600,ha
Asie,Iraq,2007,9245,ha
Asie,Iraq,2008,10213,ha
Asie,Iraq,2009,9783,ha
Asie,Iraq,2010,11010,ha
Asie,Iraq,2011,11805,ha
Asie,Iraq,2012,12395,ha
Asie,Iraq,2013,13864,ha
Asie,Iraq,2014,12947,ha
Asie,Iraq,2015,10500,ha
Asie,Iraq,2016,8000,ha
Asie,Iraq,2017,6335,ha
Asie,Iraq,2018,6309,ha
Asie,Iraq,2019,6309,ha
Europe,Israël,1995,5508,ha
Europe,Israël,1996,5830,ha
Europe,Israël,1997,5930,ha
Europe,Israël,1998,6230,ha
Europe,Israël,1999,6500,ha
Europe,Israël,2000,7800,ha
Europe,Israël,2001,7100,ha
Europe,Israël,2002,7300,ha
Europe,Israël,2003,6900,ha
Europe,Israël,2004,6750,ha
Europe,Israël,2005,6900,ha
Europe,Israël,2006,6900,ha
Europe,Israël,2007,7180,ha
Europe,Israël,2008,6240,ha
Europe,Israël,2009,6240,ha
Europe,Israël,2010,7200,ha
Europe,Israël,2011,8500,ha
Europe,Israël,2012,8364,ha
Europe,Israël,2013,8714,ha
Europe,Israël,2014,8755,ha
Europe,Israël,2015,8643,ha
Europe,Israël,2016,8536,ha
Europe,Israël,2017,8536,ha
Europe,Israël,2018,8638,ha
Europe,Israël,2019,7989,ha
Europe,Italie,1995,926851,ha
Europe,Italie,1996,917481,ha
Europe,Italie,1997,909839,ha
Europe,Italie,1998,899673,ha
Europe,Italie,1999,908547,ha
Europe,Italie,2000,908000,ha
Europe,Italie,2001,892000,ha
Europe,Italie,2002,872000,ha
Europe,Italie,2003,862000,ha
Europe,Italie,2004,849000,ha
Europe,Italie,2005,804353,ha
Europe,Italie,2006,802886,ha
Europe,Italie,2007,805364,ha
Europe,Italie,2008,769107,ha
Europe,Italie,2009,757278,ha
Europe,Italie,2010,738908,ha
Europe,Italie,2011,719537,ha
Europe,Italie,2012,712844,ha
Europe,Italie,2013,705456,ha
Europe,Italie,2014,689839,ha
Europe,Italie,2015,685453,ha
Europe,Italie,2016,692726,ha
Europe,Italie,2017,699383,ha
Europe,Italie,2018,701282,ha
Europe,Italie,2019,713146,ha
Asie,Japon,1995,24000,ha
Asie,Japon,1996,23400,ha
Asie,Japon,1997,22800,ha
Asie,Japon,1998,22000,ha
Asie,Japon,1999,21800,ha
Asie,Japon,2000,21715,ha
Asie,Japon,2001,21393,ha
Asie,Japon,2002,20963,ha
Asie,Japon,2003,20855,ha
Asie,Japon,2004,20640,ha
Asie,Japon,2005,20425,ha
Asie,Japon,2006,20318,ha
Asie,Japon,2007,19800,ha
Asie,Japon,2008,19600,ha
Asie,Japon,2009,19673,ha
Asie,Japon,2010,19350,ha
Asie,Japon,2011,19135,ha
Asie,Japon,2012,18920,ha
Asie,Japon,2013,18705,ha
Asie,Japon,2014,18598,ha
Asie,Japon,2015,18383,ha
Asie,Japon,2016,18275,ha
Asie,Japon,2017,18168,ha
Asie,Japon,2018,17953,ha
Asie,Japon,2019,17845,ha
Asie,Jordanie,1995,2564,ha
Asie,Jordanie,1996,2606,ha
Asie,Jordanie,1997,3960,ha
Asie,Jordanie,1998,3983,ha
Asie,Jordanie,1999,3987,ha
Asie,Jordanie,2000,4019,ha
Asie,Jordanie,2001,4054,ha
Asie,Jordanie,2002,4197,ha
Asie,Jordanie,2003,3870,ha
Asie,Jordanie,2004,3870,ha
Asie,Jordanie,2005,3908,ha
Asie,Jordanie,2006,3919,ha
Asie,Jordanie,2007,3321,ha
Asie,Jordanie,2008,3343,ha
Asie,Jordanie,2009,3373,ha
Asie,Jordanie,2010,3439,ha
Asie,Jordanie,2011,4237,ha
Asie,Jordanie,2012,4248,ha
Asie,Jordanie,2013,4086,ha
Asie,Jordanie,2014,4091,ha
Asie,Jordanie,2015,4118,ha
Asie,Jordanie,2016,4180,ha
Asie,Jordanie,2017,3111,ha
Asie,Jordanie,2018,3168,ha
Asie,Jordanie,2019,3286,ha
Asie,Kazakstan,1995,15910,ha
Asie,Kazakstan,1996,13545,ha
Asie,Kazakstan,1997,11288,ha
Asie,Kazakstan,1998,9783,ha
Asie,Kazakstan,1999,10213,ha
Asie,Kazakstan,2000,11610,ha
Asie,Kazakstan,2001,11116,ha
Asie,Kazakstan,2002,11503,ha
Asie,Kazakstan,2003,10320,ha
Asie,Kazakstan,2004,9890,ha
Asie,Kazakstan,2005,9998,ha
Asie,Kazakstan,2006,9353,ha
Asie,Kazakstan,2007,9030,ha
Asie,Kazakstan,2008,9353,ha
Asie,Kazakstan,2009,10213,ha
Asie,Kazakstan,2010,10213,ha
Asie,Kazakstan,2011,10750,ha
Asie,Kazakstan,2012,11825,ha
Asie,Kazakstan,2013,14943,ha
Asie,Kazakstan,2014,15692,ha
Asie,Kazakstan,2015,15712,ha
Asie,Kazakstan,2016,15641,ha
Asie,Kazakstan,2017,15848,ha
Asie,Kazakstan,2018,15482,ha
Asie,Kazakstan,2019,15681,ha
Asie,Kirghizistan,1995,7203,ha
Asie,Kirghizistan,1996,6880,ha
Asie,Kirghizistan,1997,7848,ha
Asie,Kirghizistan,1998,8039,ha
Asie,Kirghizistan,1999,8070,ha
Asie,Kirghizistan,2000,7792,ha
Asie,Kirghizistan,2001,7977,ha
Asie,Kirghizistan,2002,8090,ha
Asie,Kirghizistan,2003,7014,ha
Asie,Kirghizistan,2004,6986,ha
Asie,Kirghizistan,2005,7040,ha
Asie,Kirghizistan,2006,7077,ha
Asie,Kirghizistan,2007,7119,ha
Asie,Kirghizistan,2008,6806,ha
Asie,Kirghizistan,2009,6532,ha
Asie,Kirghizistan,2010,6469,ha
Asie,Kirghizistan,2011,6564,ha
Asie,Kirghizistan,2012,5910,ha
Asie,Kirghizistan,2013,6278,ha
Asie,Kirghizistan,2014,6190,ha
Asie,Kirghizistan,2015,6075,ha
Asie,Kirghizistan,2016,6020,ha
Asie,Kirghizistan,2017,5284,ha
Asie,Kirghizistan,2018,5207,ha
Asie,Kirghizistan,2019,5202,ha
Asie,Liban,1995,29025,ha
Asie,Liban,1996,26064,ha
Asie,Liban,1997,17200,ha
Asie,Liban,1998,16448,ha
Asie,Liban,1999,16663,ha
Asie,Liban,2000,15158,ha
Asie,Liban,2001,14835,ha
Asie,Liban,2002,15339,ha
Asie,Liban,2003,14835,ha
Asie,Liban,2004,14943,ha
Asie,Liban,2005,13760,ha
Asie,Liban,2006,13900,ha
Asie,Liban,2007,14190,ha
Asie,Liban,2008,14190,ha
Asie,Liban,2009,13653,ha
Asie,Liban,2010,13975,ha
Asie,Liban,2011,14083,ha
Asie,Liban,2012,14250,ha
Asie,Liban,2013,14050,ha
Asie,Liban,2014,13500,ha
Asie,Liban,2015,12000,ha
Asie,Liban,2016,11226,ha
Asie,Liban,2017,10896,ha
Asie,Liban,2018,7041,ha
Asie,Liban,2019,7557,ha
Afrique,Libye,1995,6000,ha
Afrique,Libye,1996,7000,ha
Afrique,Libye,1997,8116,ha
Afrique,Libye,1998,8170,ha
Afrique,Libye,1999,8385,ha
Afrique,Libye,2000,8600,ha
Afrique,Libye,2001,8000,ha
Afrique,Libye,2002,9000,ha
Afrique,Libye,2003,9000,ha
Afrique,Libye,2004,9000,ha
Afrique,Libye,2005,9000,ha
Afrique,Libye,2006,9000,ha
Afrique,Libye,2007,9000,ha
Afrique,Libye,2008,8600,ha
Afrique,Libye,2009,8600,ha
Afrique,Libye,2010,9138,ha
Afrique,Libye,2011,8976,ha
Afrique,Libye,2012,8923,ha
Afrique,Libye,2013,8794,ha
Afrique,Libye,2014,8629,ha
Afrique,Libye,2015,8768,ha
Afrique,Libye,2016,8640,ha
Afrique,Libye,2017,8627,ha
Afrique,Libye,2018,8614,ha
Afrique,Libye,2019,8602,ha
Europe,Lituanie,1995,4000,ha
Europe,Lituanie,1996,4000,ha
Europe,Lituanie,1997,5000,ha
Europe,Lituanie,1998,5000,ha
Europe,Lituanie,1999,2000,ha
Europe,Luxembourg,1995,1389,ha
Europe,Luxembourg,1996,1350,ha
Europe,Luxembourg,1997,1346,ha
Europe,Luxembourg,1998,1352,ha
Europe,Luxembourg,1999,1348,ha
Europe,Luxembourg,2000,1343,ha
Europe,Luxembourg,2001,1342,ha
Europe,Luxembourg,2002,1407,ha
Europe,Luxembourg,2003,1407,ha
Europe,Luxembourg,2004,1000,ha
Europe,Luxembourg,2005,1301,ha
Europe,Luxembourg,2006,1300,ha
Europe,Luxembourg,2007,1279,ha
Europe,Luxembourg,2008,1286,ha
Europe,Luxembourg,2009,1237,ha
Europe,Luxembourg,2010,1220,ha
Europe,Luxembourg,2011,1220,ha
Europe,Luxembourg,2012,1222,ha
Europe,Luxembourg,2013,1239,ha
Europe,Luxembourg,2014,1246,ha
Europe,Luxembourg,2015,1250,ha
Europe,Luxembourg,2016,1256,ha
Europe,Luxembourg,2017,1258,ha
Europe,Luxembourg,2018,1249,ha
Europe,Luxembourg,2019,1241,ha
Afrique,Madagascar,1995,2137,ha
Afrique,Madagascar,1996,2160,ha
Afrique,Madagascar,1997,2182,ha
Afrique,Madagascar,1998,2195,ha
Afrique,Madagascar,1999,2276,ha
Afrique,Madagascar,2000,2244,ha
Afrique,Madagascar,2001,2278,ha
Afrique,Madagascar,2002,2309,ha
Afrique,Madagascar,2003,2351,ha
Afrique,Madagascar,2004,2353,ha
Afrique,Madagascar,2005,2376,ha
Afrique,Madagascar,2006,2473,ha
Afrique,Madagascar,2007,2688,ha
Afrique,Madagascar,2008,2728,ha
Afrique,Madagascar,2009,2738,ha
Afrique,Madagascar,2010,2736,ha
Afrique,Madagascar,2011,2720,ha
Afrique,Madagascar,2012,2688,ha
Afrique,Madagascar,2013,2688,ha
Afrique,Madagascar,2014,2679,ha
Afrique,Madagascar,2015,2713,ha
Afrique,Madagascar,2016,2706,ha
Afrique,Madagascar,2017,2705,ha
Afrique,Madagascar,2018,2704,ha
Afrique,Madagascar,2019,2704,ha
Europe,Malte,1995,1000,ha
Europe,Malte,1996,1000,ha
Europe,Malte,1997,650,ha
Europe,Malte,1998,300,ha
Europe,Malte,1999,300,ha
Europe,Malte,2000,317,ha
Europe,Malte,2001,460,ha
Europe,Malte,2002,482,ha
Europe,Malte,2003,550,ha
Europe,Malte,2004,591,ha
Europe,Malte,2005,710,ha
Europe,Malte,2006,591,ha
Europe,Malte,2007,860,ha
Europe,Malte,2008,860,ha
Europe,Malte,2009,1935,ha
Europe,Malte,2010,1828,ha
Europe,Malte,2011,1720,ha
Europe,Malte,2012,1742,ha
Europe,Malte,2013,668,ha
Europe,Malte,2014,658,ha
Europe,Malte,2015,594,ha
Europe,Malte,2016,535,ha
Europe,Malte,2017,430,ha
Europe,Malte,2018,416,ha
Europe,Malte,2019,411,ha
Afrique,Maroc,1995,49000,ha
Afrique,Maroc,1996,48400,ha
Afrique,Maroc,1997,49108,ha
Afrique,Maroc,1998,49850,ha
Afrique,Maroc,1999,49500,ha
Afrique,Maroc,2000,49600,ha
Afrique,Maroc,2001,49500,ha
Afrique,Maroc,2002,49930,ha
Afrique,Maroc,2003,50000,ha
Afrique,Maroc,2004,50000,ha
Afrique,Maroc,2005,50200,ha
Afrique,Maroc,2006,50400,ha
Afrique,Maroc,2007,48400,ha
Afrique,Maroc,2008,47200,ha
Afrique,Maroc,2009,48000,ha
Afrique,Maroc,2010,47425,ha
Afrique,Maroc,2011,48273,ha
Afrique,Maroc,2012,48391,ha
Afrique,Maroc,2013,46448,ha
Afrique,Maroc,2014,46573,ha
Afrique,Maroc,2015,47892,ha
Afrique,Maroc,2016,49455,ha
Afrique,Maroc,2017,46046,ha
Afrique,Maroc,2018,45478,ha
Afrique,Maroc,2019,45547,ha
Amérique,Mexique,1995,46049,ha
Amérique,Mexique,1996,44853,ha
Amérique,Mexique,1997,42401,ha
Amérique,Mexique,1998,42070,ha
Amérique,Mexique,1999,43170,ha
Amérique,Mexique,2000,42000,ha
Amérique,Mexique,2001,40000,ha
Amérique,Mexique,2002,39000,ha
Amérique,Mexique,2003,36000,ha
Amérique,Mexique,2004,35000,ha
Amérique,Mexique,2005,33000,ha
Amérique,Mexique,2006,30642,ha
Amérique,Mexique,2007,29763,ha
Amérique,Mexique,2008,27913,ha
Amérique,Mexique,2009,27872,ha
Amérique,Mexique,2010,27684,ha
Amérique,Mexique,2011,27831,ha
Amérique,Mexique,2012,28941,ha
Amérique,Mexique,2013,29444,ha
Amérique,Mexique,2014,29466,ha
Amérique,Mexique,2015,30195,ha
Amérique,Mexique,2016,31420,ha
Amérique,Mexique,2017,33714,ha
Amérique,Mexique,2018,36654,ha
Amérique,Mexique,2019,37035,ha
Europe,"Moldova, République",1995,193955,ha
Europe,"Moldova, République",1996,179003,ha
Europe,"Moldova, République",1997,173921,ha
Europe,"Moldova, République",1998,159300,ha
Europe,"Moldova, République",1999,149100,ha
Europe,"Moldova, République",2000,147000,ha
Europe,"Moldova, République",2001,155000,ha
Europe,"Moldova, République",2002,153000,ha
Europe,"Moldova, République",2003,148700,ha
Europe,"Moldova, République",2004,146000,ha
Europe,"Moldova, République",2005,148000,ha
Europe,"Moldova, République",2006,146100,ha
Europe,"Moldova, République",2007,150000,ha
Europe,"Moldova, République",2008,150000,ha
Europe,"Moldova, République",2009,148000,ha
Europe,"Moldova, République",2010,146000,ha
Europe,"Moldova, République",2011,142500,ha
Europe,"Moldova, République",2012,142200,ha
Europe,"Moldova, République",2013,137253,ha
Europe,"Moldova, République",2014,140400,ha
Europe,"Moldova, République",2015,139900,ha
Europe,"Moldova, République",2016,145000,ha
Europe,"Moldova, République",2017,151300,ha
Europe,"Moldova, République",2018,147000,ha
Europe,"Moldova, République",2019,142800,ha
Europe,Monténégro,2006,2526,ha
Europe,Monténégro,2007,2516,ha
Europe,Monténégro,2008,2526,ha
Europe,Monténégro,2009,2526,ha
Europe,Monténégro,2010,2563,ha
Europe,Monténégro,2011,2711,ha
Europe,Monténégro,2012,2843,ha
Europe,Monténégro,2013,2848,ha
Europe,Monténégro,2014,2793,ha
Europe,Monténégro,2015,2911,ha
Europe,Monténégro,2016,2989,ha
Europe,Monténégro,2017,3010,ha
Europe,Monténégro,2018,2999,ha
Europe,Monténégro,2019,3042,ha
Afrique,Namibie,1995,645,ha
Afrique,Namibie,1996,742,ha
Afrique,Namibie,1997,914,ha
Afrique,Namibie,1998,1054,ha
Afrique,Namibie,1999,1290,ha
Afrique,Namibie,2000,1075,ha
Afrique,Namibie,2001,1935,ha
Afrique,Namibie,2002,2526,ha
Afrique,Namibie,2003,2688,ha
Afrique,Namibie,2004,3333,ha
Afrique,Namibie,2005,4085,ha
Afrique,Namibie,2006,5160,ha
Afrique,Namibie,2007,5375,ha
Afrique,Namibie,2008,5421,ha
Afrique,Namibie,2009,5451,ha
Afrique,Namibie,2010,5913,ha
Afrique,Namibie,2011,6102,ha
Afrique,Namibie,2012,6235,ha
Afrique,Namibie,2013,6332,ha
Afrique,Namibie,2014,6450,ha
Afrique,Namibie,2015,7253,ha
Afrique,Namibie,2016,7273,ha
Afrique,Namibie,2017,8319,ha
Afrique,Namibie,2018,7515,ha
Afrique,Namibie,2019,7857,ha
Océanie,Nouvelle-zélande,1995,7500,ha
Océanie,Nouvelle-zélande,1996,7800,ha
Océanie,Nouvelle-zélande,1997,9491,ha
Océanie,Nouvelle-zélande,1998,10386,ha
Océanie,Nouvelle-zélande,1999,11648,ha
Océanie,Nouvelle-zélande,2000,13787,ha
Océanie,Nouvelle-zélande,2001,15479,ha
Océanie,Nouvelle-zélande,2002,17188,ha
Océanie,Nouvelle-zélande,2003,19000,ha
Océanie,Nouvelle-zélande,2004,21360,ha
Océanie,Nouvelle-zélande,2005,25224,ha
Océanie,Nouvelle-zélande,2006,27120,ha
Océanie,Nouvelle-zélande,2007,30426,ha
Océanie,Nouvelle-zélande,2008,34586,ha
Océanie,Nouvelle-zélande,2009,36000,ha
Océanie,Nouvelle-zélande,2010,37442,ha
Océanie,Nouvelle-zélande,2011,36960,ha
Océanie,Nouvelle-zélande,2012,37987,ha
Océanie,Nouvelle-zélande,2013,38413,ha
Océanie,Nouvelle-zélande,2014,38138,ha
Océanie,Nouvelle-zélande,2015,38548,ha
Océanie,Nouvelle-zélande,2016,37969,ha
Océanie,Nouvelle-zélande,2017,38644,ha
Océanie,Nouvelle-zélande,2018,38886,ha
Océanie,Nouvelle-zélande,2019,39061,ha
Asie,Ouzbékistan,1995,101588,ha
Asie,Ouzbékistan,1996,104490,ha
Asie,Ouzbékistan,1997,103630,ha
Asie,Ouzbékistan,1998,86000,ha
Asie,Ouzbékistan,1999,108360,ha
Asie,Ouzbékistan,2000,106318,ha
Asie,Ouzbékistan,2001,107070,ha
Asie,Ouzbékistan,2002,108898,ha
Asie,Ouzbékistan,2003,104813,ha
Asie,Ouzbékistan,2004,104060,ha
